Период;Плановые затраты (тг);Плановые затраты (млн тг)
2025-01;726092563;726.093
2025-02;107073495;107.073
2025-03;107073495;107.073
2025-04;107073495;107.073
2025-05;107073495;107.073
2025-06;312481409;312.481
2025-07;8853759;8.854
2025-08;8853759;8.854
2025-09;8853759;8.854
2025-10;8853759;8.854
2025-11;8853759;8.854
2025-12;8853759;8.854
2026-01;8853759;8.854
2026-02;31187487;31.187
2026-03;22333728;22.334
2026-04;52883528;52.884
2026-05;94512355;94.512
2026-06;63962555;63.963
2026-07;109388750;109.389
2026-08;95267296;95.267
2026-09;95267296;95.267
2026-10;95267296;95.267
2026-11;147475828;147.476
2026-12;52208533;52.209
2027-01;52208533;52.209
2027-02;52208533;52.209
