Всего задач: 40
- INTEL-030  | Статус: Not started | Дедлайн: 2025-10-20
- INTEL-029  | Статус: Not started | Дедлайн: 2025-09-28
- INTEL-028  | Статус: Not started | Дедлайн: 2025-09-30
- INTEL-027  | Статус: Not started | Дедлайн: 2025-10-15
- INTEL-026  | Статус: Not started | Дедлайн: 2025-10-01
- INTEL-025  | Статус: Not started | Дедлайн: 2025-09-25
- INTEL-024  | Статус: Not started | Дедлайн: 2025-09-29
- INTEL-023  | Статус: Not started | Дедлайн: 2025-10-04
- INTEL-022  | Статус: Not started | Дедлайн: 2025-10-03
- INTEL-021  | Статус: Not started | Дедлайн: 2025-09-30
- INTEL-020  | Статус: Not started | Дедлайн: 2025-09-26
- INTEL-019  | Статус: Not started | Дедлайн: 2025-09-27
- INTEL-018  | Статус: Not started | Дедлайн: 2025-09-28
- INTEL-017  | Статус: Not started | Дедлайн: 2025-09-25
- INTEL-016  | Статус: Not started | Дедлайн: 2025-10-02
- INTEL-015  | Статус: Not started | Дедлайн: 2025-09-29
- INTEL-014  | Статус: Not started | Дедлайн: 2025-09-30
- INTEL-013  | Статус: Not started | Дедлайн: 2025-09-27
- INTEL-012  | Статус: Not started | Дедлайн: 2025-09-28
- INTEL-011  | Статус: Not started | Дедлайн: 2025-09-26
- INTEL-010  | Статус: Not started | Дедлайн: 2025-09-24
- INTEL-009  | Статус: Not started | Дедлайн: 2025-09-29
- INTEL-008  | Статус: Not started | Дедлайн: 2025-09-30
- INTEL-007  | Статус: Not started | Дедлайн: 2025-09-25
- B10  | Статус: Not started | Дедлайн: 2025-09-28
- B9  | Статус: Not started | Дедлайн: 2025-09-30
- B8  | Статус: Not started | Дедлайн: 2025-09-27
- B7  | Статус: Not started | Дедлайн: 2025-10-05
- B6  | Статус: Not started | Дедлайн: 2025-09-26
- INTEL-005  | Статус: Not started | Дедлайн: 2025-09-21
- INTEL-006  | Статус: Not started | Дедлайн: 2025-09-22
- INTEL-004  | Статус: Not started | Дедлайн: 2025-09-20
- INTEL-003  | Статус: Not started | Дедлайн: 2025-09-19
- INTEL-002  | Статус: Not started | Дедлайн: 2025-09-19
- INTEL-001  | Статус: Not started | Дедлайн: 2025-09-18
- B5  | Статус: Not started | Дедлайн: 2025-09-24
- B4  | Статус: Not started | Дедлайн: 2025-09-22
- B3  | Статус: Not started | Дедлайн: 2025-09-22
- B2  | Статус: Not started | Дедлайн: 2025-09-25
- B1  | Статус: Not started | Дедлайн: 2025-09-22
