phase,start_date,finish_date,duration_days,tasks_count,critical_count
Земляные работы,2025-01-01,2027-05-26,875,1,1
Монолитный каркас,2027-05-26,2027-11-17,175,1,1
Наружная канализация,2027-05-26,2027-05-30,4,1,0
Наружные сети водоснабжения,2027-05-26,2027-06-13,18,1,0
Гидро- и пароизоляция,2027-11-17,2028-06-30,226,1,0
Деревянные конструкции,2027-11-17,2027-12-01,14,1,0
Кровля,2027-11-17,2027-11-24,7,1,1
Металлические конструкции,2027-11-17,2027-11-18,1,1,0
Кровля наружная,2027-11-24,2028-01-08,45,1,1
Благоустройство,2028-01-08,2028-02-22,45,1,0
Окна и двери,2028-01-08,2028-01-10,2,1,1
Водоснабжение и канализация,2028-01-10,2028-08-25,228,1,0
Электроснабжение,2028-01-10,2028-12-16,341,1,1
Отделочные работы,2028-12-16,2029-10-21,309,1,1
Лифтовое оборудование,2029-10-21,2029-11-20,30,1,0
Полы,2029-10-21,2030-03-24,154,1,1
Слаботочные системы,2029-10-21,2029-12-26,66,1,0
