task_id,phase,subsection_name,start_date,finish_date,duration_days,is_critical,duration_status,float_days
земляные_работы,Земляные работы,Земляные работы,2025-01-01,2027-05-26,875,True,ok,0
монолитный_каркас,Монолитный каркас,Монолитный каркас,2027-05-26,2027-11-17,175,True,ok,0
наружная_канализация,Наружная канализация,Наружная канализация,2027-05-26,2027-05-30,4,False,ok,984
наружные_сети_водоснабжения,Наружные сети водоснабжения,Наружные сети водоснабжения,2027-05-26,2027-06-13,18,False,ok,970
гидро-_и_пароизоляция,Гидро- и пароизоляция,Гидро- и пароизоляция,2027-11-17,2028-06-30,226,False,ok,632
деревянные_конструкции,Деревянные конструкции,Деревянные конструкции,2027-11-17,2027-12-01,14,False,ok,844
кровля,Кровля,Кровля,2027-11-17,2027-11-24,7,True,ok,0
металлические_конструкции,Металлические конструкции,Металлические конструкции,2027-11-17,2027-11-18,1,False,ok,857
кровля_наружная,Кровля наружная,Кровля наружная,2027-11-24,2028-01-08,45,True,ok,0
благоустройство,Благоустройство,Благоустройство,2028-01-08,2028-02-22,45,False,ok,761
окна_и_двери,Окна и двери,Окна и двери,2028-01-08,2028-01-10,2,True,ok,0
водоснабжение_и_канализация,Водоснабжение и канализация,Водоснабжение и канализация,2028-01-10,2028-08-25,228,False,ok,113
электроснабжение,Электроснабжение,Электроснабжение,2028-01-10,2028-12-16,341,True,ok,0
отделочные_работы,Отделочные работы,Отделочные работы,2028-12-16,2029-10-21,309,True,ok,0
лифтовое_оборудование,Лифтовое оборудование,Лифтовое оборудование,2029-10-21,2029-11-20,30,False,ok,124
полы,Полы,Полы,2029-10-21,2030-03-24,154,True,ok,0
слаботочные_системы,Слаботочные системы,Слаботочные системы,2029-10-21,2029-12-26,66,False,ok,88
