Период;План работы;План материалы;План итого;Факт;Дельта;Дельта %;Накопленный разрыв;Статус
2024-12;0;14014358;14014358;13313640;-700718;-5.0;-700718;warning
2025-01;726092563;287174347;1013266910;962603564;-50663346;-5.0;-51364064;warning
2025-02;107073495;234580589;341654084;324571380;-17082704;-5.0;-68446768;on_track
2025-03;107073495;234580589;341654084;256240563;-85413521;-25.0;-153860289;risk
2025-04;107073495;234580589;341654084;256240563;-85413521;-25.0;-239273810;risk
2025-05;107073495;291751063;398824558;299118418;-99706140;-25.0;-338979950;critical
2025-06;312481409;291751063;604232472;362539483;-241692989;-40.0;-580672939;critical
2025-07;8853759;0;8853759;5312255;-3541504;-40.0;-584214443;critical
2025-08;8853759;0;8853759;;;;;planned
2025-09;8853759;0;8853759;;;;;planned
2025-10;8853759;0;8853759;;;;;planned
2025-11;8853759;0;8853759;;;;;planned
2025-12;8853759;0;8853759;;;;;planned
2026-01;8853759;19404288;28258047;;;;;planned
2026-02;31187487;19404288;50591775;;;;;planned
2026-03;22333728;19404288;41738016;;;;;planned
2026-04;52883528;19404288;72287816;;;;;planned
2026-05;94512355;52038500;146550855;;;;;planned
2026-06;63962555;52038500;116001055;;;;;planned
2026-07;109388750;293048925;402437675;;;;;planned
2026-08;95267296;254507425;349774721;;;;;planned
2026-09;95267296;254507425;349774721;;;;;planned
2026-10;95267296;254507425;349774721;;;;;planned
2026-11;147475828;313387383;460863211;;;;;planned
2026-12;52208533;0;52208533;;;;;planned
2027-01;52208533;0;52208533;;;;;planned
2027-02;52208533;0;52208533;;;;;planned
