Период;Материалы (тг);Работы (тг);Итого (тг);Материалы (млн)
2024-12;14014358;0;14014358;14.014
2025-01;287174347;726092563;1013266910;287.174
2025-02;234580589;107073495;341654084;234.581
2025-03;234580589;107073495;341654084;234.581
2025-04;234580589;107073495;341654084;234.581
2025-05;291751063;107073495;398824558;291.751
2025-06;291751063;312481409;604232472;291.751
2026-01;19404288;8853759;28258046;19.404
2026-02;19404288;31187487;50591774;19.404
2026-03;19404288;22333728;41738016;19.404
2026-04;19404288;52883528;72287816;19.404
2026-05;52038500;94512355;146550855;52.038
2026-06;52038500;63962555;116001055;52.038
2026-07;293048925;109388750;402437675;293.049
2026-08;254507425;95267296;349774721;254.507
2026-09;254507425;95267296;349774721;254.507
2026-10;254507425;95267296;349774721;254.507
2026-11;313387383;147475828;460863211;313.387
